기간	지역	유치원	유치원	유치원	초등학교	초등학교	초등학교	중학교	중학교	중학교	고등학교	고등학교	고등학교
기간	지역	원아수	학급현황	학급현황	학생수	학급현황	학급현황	학생수	학급현황	학급현황	학생수	학급현황	학급현황
기간	지역	원아수	학급수	학급당원아수	학생수	학급수	학급당학생수	학생수	학급수	학급당학생수	학생수	학급수	학급당학생수
2010	합계	78,789	3,632	21.7	566,149	20,351	27.8	345,413	10,201	33.9	362,466	10,551	34.4
2010	종로구	1,152	53	21.7	8,266	324	25.5	5,297	170	31.2	14,590	442	33
2010	중구	1,114	52	21.4	7,417	283	26.2	4,101	143	28.7	10,918	339	32.2
2010	용산구	1,746	74	23.6	10,501	406	25.9	6,060	193	31.4	9,616	303	31.7
2010	성동구	2,402	112	21.4	17,202	646	26.6	8,980	285	31.5	7,203	228	31.6
2010	광진구	3,039	147	20.7	20,720	733	28.3	12,838	375	34.2	13,365	362	36.9
2010	동대문구	2,996	142	21.1	18,771	717	26.2	12,066	367	32.9	10,933	329	33.2
2010	중랑구	2,977	140	21.3	22,540	834	27	13,239	402	32.9	11,412	342	33.4
2010	성북구	4,773	217	22	27,639	998	27.7	14,109	426	33.1	14,606	431	33.9
2010	강북구	1,888	92	20.5	16,192	578	28	10,881	328	33.2	7,085	199	35.6
2010	도봉구	2,845	132	21.6	23,697	870	27.2	13,075	386	33.9	11,446	337	34
2010	노원구	7,395	332	22.3	41,767	1,464	28.5	27,229	774	35.2	32,951	961	34.3
2010	은평구	3,630	168	21.6	28,892	1,032	28	16,372	488	33.5	17,364	521	33.3
2010	서대문구	2,289	109	21	17,833	651	27.4	10,814	328	33	7,623	217	35.1
2010	마포구	2,924	137	21.3	19,851	741	26.8	10,754	336	32	8,289	242	34.3
2010	양천구	4,348	206	21.1	32,170	1,108	29	26,145	696	37.6	19,712	533	37
2010	강서구	4,855	222	21.9	34,373	1,211	28.4	16,142	488	33.1	25,533	742	34.4
2010	구로구	2,816	124	22.7	23,065	845	27.3	12,890	391	33	12,764	398	32.1
2010	금천구	1,500	70	21.4	13,561	515	26.3	8,299	257	32.3	7,111	217	32.8
